Tool,Category,Published entry price,Free plan / trial,Entry limits / users,Customer self-booking,DetailerFit note,Last verified,Official source
Auto Detailing CRM,Detailing-specific,$39/mo Essential,Free trial,Up to 2 users on Essential,$39 Essential — online booking included,"Detailing-native CRM with quotes, orders, invoices, customer and vehicle history; AI Voice available on Core.",2026-09-23,https://www.autodetailcrm.com/
AutoHustl,Detailing-specific,$39/mo Solo,14-day free trial; card required at signup,Up to 100 bookings/mo on Solo,$39 Solo — booking page + widget included,"Detailing-native booking CRM with invoicing, reminders, inspections and vehicle history.",2026-09-20,https://www.autohustl.com/pricing
DetailPilot,Detailing-specific,$0 Starter,True free plan,10 bookings/mo; up to 3 services; 1% per online transaction,$0 Starter — booking page included,Strongest $0 detailing-native booking entry in this index.,2026-09-15,https://detailpilot.com/pricing
Housecall Pro,General field service,From $59/mo,14-day free trial; no card,1 user included on Basic,Entry plan — online booking published,Broader dispatch/service-business stack; not automotive-specific.,2026-09-15,https://www.housecallpro.com/pricing/
Jobber,General field service,From $29/mo billed annually,Free trial; no card,Solo entry; larger team pricing varies by configuration,Core — online booking included,Mature field-service platform with online booking on the entry plan.,2026-09-15,https://www.getjobber.com/pricing/
JobField,General field service,$49/mo Starter,14-day free trial; no card,1 user; 100 jobs/mo on Starter,Online booking included on every plan per vendor support,"Flat per-company pricing with dispatch, scheduling, invoicing and payments.",2026-09-20,https://www.jobfield.app/pricing
Mobile Tech RX,Automotive recon / detailing,$39/admin + $15/additional user,Free trial available,Per-user pricing; Getting Started includes one service module,Native customer self-booking not verified,"Vehicle-first estimating, documentation and recon workflow.",2026-09-15,https://www.mobiletechrx.com/plans/
OrbisX,Automotive-specific CRM,$100/mo promo,30-day free trial,One published all-in-one plan; public pricing page does not state a seat cap,Included in all-in-one plan,Limited-time promo price; verify the live offer before subscribing.,2026-09-15,https://orbisx.com/pricing/
QuoteIQ,Field-service CRM,$29.99/mo Essentials,14-day free trial,1 user on Essentials; 2 Beginner; 4 Pro; 10 Elite; unlimited Max,$299/mo Elite — InstaSchedule,"Low entry price, but customer-facing self-booking materially changes plan cost.",2026-09-15,https://intercom.help/quoteiq/en/articles/16152075-quoteiq-pricing-plans-2026
Reservio,Generic booking / scheduling,$0 Free,True free plan,40 bookings per 30 days; 100 clients,$0 Free — booking website included,Useful lightweight scheduling option; not detailing-specific.,2026-09-15,https://www.reservio.com/pricing
ServiceM8,General field service,$0 Free,True free plan; 14-day trial also offered,1 user; 30 jobs/mo on Free,Online bookings published on pricing page,Very strong $0 start if its Apple-first workflow fits your operation.,2026-09-15,https://www.servicem8.com/us/pricing
Sparkyl,Detailing-specific,$0 Starter,Starter is free; Pro has 30-day no-card trial,Public homepage does not fully expose Starter feature gates,Bookings are part of the product; verify Starter scope,"Newer detailing-native app across iOS, Android and web.",2026-09-15,https://sparkyl.app/
Strata,Automotive-specific CRM,$39/mo Focus regular price,30-day free trial; no card,"Focus: one login; up to 2,000 clients",Included — every plan covers booking + deposits,"At check time, limited founder pricing showed $29 Focus / $59 Flow for the next 50 sign-ups.",2026-09-15,https://stratacrm.app/pricing
Twizzlo,Generic booking / scheduling,$0 Free,True free plan,"150 bookings/mo; unlimited staff, locations and client records",$0 Free — public booking page included,"$29.99/mo Business Pro removes the booking cap; Free has no SMS; online payments carry Stripe processing plus a 1.5% Twizzlo platform fee.",2026-09-26,https://twizzlo.com/pricing/
Urable,Automotive-specific CRM,$70/mo Express,No permanent $0 plan shown,Unlimited users on published plans,$110/mo Pro — online booking,Automotive-specialist workflow with unlimited users on published plans.,2026-09-15,https://urable.com/pricing/
